Feature,Importance
num_voted_users,0.5337038698570622
duration_min,0.171703326264824
release_year,0.13712016117824302
primary_genre_Dramas,0.06289458724284286
primary_genre_Documentaries,0.028363296040958462
primary_genre_Classic Movies,0.01900310512762413
primary_genre_Comedies,0.012259019255134373
primary_genre_Children & Family Movies,0.012030607523813592
primary_genre_Stand-Up Comedy,0.00749014661956001
primary_genre_Horror Movies,0.00594163244290974
primary_genre_Music & Musicals,0.004322731177293166
primary_genre_Independent Movies,0.0024903276011759984
primary_genre_Thrillers,0.0012750837058830154
primary_genre_Cult Movies,0.0010338242262839417
primary_genre_Sci-Fi & Fantasy,0.0003429943539392827
primary_genre_International Movies,2.528738245228011e-05
