title,release_year,duration_min,primary_genre,imdb_score,num_voted_users
Grown Ups,2010,103.0,Comedies,6.0,181443
Jaws,1975,124.0,Action & Adventure,8.0,412454
Jaws 2,1978,116.0,Dramas,5.7,51314
Jaws: The Revenge,1987,91.0,Action & Adventure,2.8,30840
Safe House,2012,115.0,Action & Adventure,6.8,166693
Training Day,2001,122.0,Dramas,7.7,305929
Bright Star,2009,119.0,Dramas,7.0,21360
In the Cut,2003,118.0,Thrillers,5.3,18632
A Cinderella Story,2004,95.0,Children & Family Movies,5.9,62861
An Unfinished Life,2005,108.0,Dramas,7.0,24033
Chappie,2015,121.0,Action & Adventure,6.9,172965
Clear and Present Danger,1994,142.0,Action & Adventure,6.9,69663
Cliffhanger,1993,113.0,Action & Adventure,6.4,96096
Cold Mountain,2003,154.0,Dramas,7.2,118483
Crocodile Dundee in Los Angeles,2001,95.0,Action & Adventure,4.8,19699
Dear John,2010,108.0,Dramas,6.3,104356
Do the Right Thing,1989,120.0,Classic Movies,7.9,59524
Freedom Writers,2007,124.0,Dramas,7.5,52533
Green Lantern,2011,114.0,Action & Adventure,5.6,223393
House Party 2,1991,94.0,Comedies,5.1,3571
I Got the Hook Up,1998,93.0,Action & Adventure,3.9,1721
In Too Deep,1999,97.0,Thrillers,6.1,4598
Letters to Juliet,2010,105.0,Comedies,6.5,74630
Mars Attacks!,1996,106.0,Comedies,6.3,172217
My Boss's Daughter,2003,86.0,Comedies,4.6,24038
Mystery Men,1999,121.0,Action & Adventure,6.0,53970
Once Upon a Time in America,1984,229.0,Classic Movies,8.4,221000
Osmosis Jones,2001,95.0,Action & Adventure,6.2,25572
Poseidon,2006,98.0,Action & Adventure,5.6,82380
School of Rock,2003,110.0,Comedies,7.1,210680
Tears of the Sun,2003,121.0,Action & Adventure,6.6,93494
The Blue Lagoon,1980,105.0,Dramas,5.7,50125
The Golden Child,1986,94.0,Action & Adventure,5.9,39798
The Interview,2014,112.0,Action & Adventure,6.6,247020
The Nutty Professor,1996,95.0,Comedies,5.6,86556
The November Man,2014,108.0,Action & Adventure,6.3,50056
Like Crazy,2011,91.0,Dramas,6.7,46813
The Piano,1993,121.0,Classic Movies,7.6,63931
The Railway Man,2013,108.0,Dramas,7.1,27882
Quartet,2012,98.0,Comedies,6.8,15684
Beowulf,2007,114.0,Action & Adventure,6.3,142440
Catch Me If You Can,2002,142.0,Dramas,8.0,525801
Cloudy with a Chance of Meatballs,2009,90.0,Children & Family Movies,7.0,152601
Deep Blue Sea,1999,105.0,Action & Adventure,5.8,99043
Good Luck Chuck,2007,99.0,Comedies,5.6,74622
Inception,2010,148.0,Action & Adventure,8.8,1468200
Magnolia,1999,189.0,Dramas,8.0,241030
My Girl,1991,102.0,Dramas,6.8,55895
Pineapple Express,2008,112.0,Action & Adventure,7.0,255257
Planet 51,2009,91.0,Children & Family Movies,6.1,41259
Seabiscuit,2003,141.0,Dramas,7.3,57661
Space Cowboys,2000,130.0,Action & Adventure,6.4,60165
Team America: World Police,2004,98.0,Action & Adventure,7.2,136048
The Haunting in Connecticut 2: Ghosts of Georgia,2013,101.0,Horror Movies,5.3,13167
The Lincoln Lawyer,2011,118.0,Dramas,7.3,173848
The Losers,2010,97.0,Action & Adventure,6.4,74691
The Machinist,2004,102.0,Dramas,7.7,281649
The Net,1995,114.0,Thrillers,5.8,48909
The Original Kings of Comedy,2000,111.0,Stand-Up Comedy,6.6,4687
Valentine's Day,2010,125.0,Comedies,5.7,95437
Django Unchained,2012,165.0,Action & Adventure,8.5,955174
The Twilight Saga: Eclipse,2010,124.0,Dramas,4.9,184637
The Twilight Saga: New Moon,2009,131.0,Dramas,4.6,220758
Twilight,2008,122.0,Action & Adventure,5.2,348007
Twilight,2008,122.0,Action & Adventure,5.2,348010
Surf's Up,2007,86.0,Children & Family Movies,6.8,54077
Brick Mansions,2014,90.0,Action & Adventure,5.7,32103
Snowpiercer,2013,126.0,Action & Adventure,7.0,181472
Air Force One,1997,125.0,Action & Adventure,6.4,146134
Austin Powers in Goldmember,2002,94.0,Action & Adventure,6.2,162909
Austin Powers: International Man of Mystery,1997,90.0,Comedies,7.0,183425
Austin Powers: The Spy Who Shagged Me,1999,95.0,Action & Adventure,6.6,181225
Boogie Nights,1997,155.0,Comedies,7.9,189032
Charlie's Angels,2000,98.0,Action & Adventure,5.5,145350
Congo,1995,108.0,Action & Adventure,5.0,34471
Kung Fu Panda,2008,94.0,Children & Family Movies,7.6,307029
Kung Fu Panda 2,2011,93.0,Children & Family Movies,7.3,182718
Memoirs of a Geisha,2005,145.0,Dramas,7.3,119286
Midnight Run,1988,126.0,Action & Adventure,7.6,54042
Mortal Kombat,1995,101.0,Action & Adventure,5.8,81783
No Strings Attached,2011,109.0,Comedies,6.2,168717
Not Another Teen Movie,2001,89.0,Comedies,5.7,80305
Seven Pounds,2008,123.0,Dramas,7.7,232710
She's Out of My League,2010,106.0,Comedies,6.4,101730
Snow Day,2000,89.0,Children & Family Movies,4.9,9285
Star Trek,2009,128.0,Action & Adventure,8.0,504419
Stuart Little,1999,85.0,Children & Family Movies,5.9,94172
Talladega Nights: The Ballad of Ricky Bobby,2006,108.0,Action & Adventure,6.6,130776
The American,2010,105.0,Dramas,6.3,79461
The Game,1997,129.0,Thrillers,7.8,261069
The Karate Kid,1984,127.0,Action & Adventure,7.2,126907
The Karate Kid,1984,127.0,Action & Adventure,7.2,126916
The Life of David Gale,2003,130.0,Dramas,7.5,88270
The Long Riders,1980,100.0,Action & Adventure,7.1,7322
The Queen,2006,103.0,Dramas,7.3,85333
The Sum of All Fears,2002,124.0,Action & Adventure,6.4,86504
The Tourist,2010,103.0,Action & Adventure,6.0,176598
The Tourist,2010,103.0,Action & Adventure,6.0,176606
Underworld,2003,121.0,Action & Adventure,7.0,208092
Underworld: Awakening,2012,89.0,Action & Adventure,6.4,117096
Underworld: Rise of the Lycans,2009,92.0,Action & Adventure,6.6,119974
What Dreams May Come,1998,114.0,Dramas,7.0,83560
Killing Them Softly,2012,97.0,Dramas,6.2,111625
Silver Linings Playbook,2012,122.0,Comedies,7.8,533607
A Haunted House 2,2014,86.0,Comedies,4.7,14621
American Outlaws,2001,94.0,Action & Adventure,6.0,12077
Battlefield Earth,2000,118.0,Action & Adventure,2.4,65464
Cradle 2 the Grave,2003,101.0,Action & Adventure,5.8,34942
Domestic Disturbance,2001,89.0,Thrillers,5.5,21283
Flipped,2010,90.0,Comedies,7.7,60460
I Am Sam,2001,132.0,Dramas,7.6,121937
Love Jones,1997,109.0,Comedies,7.4,2801
Million Dollar Baby,2004,133.0,Dramas,8.1,482064
Never Back Down 2: The Beatdown,2011,104.0,Action & Adventure,5.8,13599
Ninja Assassin,2009,99.0,Action & Adventure,6.4,58349
Starsky & Hutch,2004,101.0,Action & Adventure,6.1,120795
Swordfish,2001,99.0,Action & Adventure,6.5,155532
The Four Seasons,1981,108.0,Comedies,7.2,3157
The Interpreter,2005,128.0,Thrillers,6.4,86152
The Mirror Has Two Faces,1996,127.0,Comedies,6.5,11453
Home,2015,94.0,Children & Family Movies,6.7,70121
Home,2015,94.0,Children & Family Movies,6.7,70133
Home,2015,94.0,Children & Family Movies,6.7,70136
Sabotage,2014,109.0,Action & Adventure,5.7,47498
Sabotage,2014,109.0,Action & Adventure,5.7,47502
Layer Cake,2004,105.0,Independent Movies,7.4,134070
Dead Man Down,2013,118.0,Action & Adventure,6.5,54147
Due Date,2010,95.0,Action & Adventure,6.6,272789
Green Zone,2010,115.0,Action & Adventure,6.9,110364
Hachi: A Dog's Tale,2009,93.0,Children & Family Movies,8.1,155249
Madagascar 3: Europe's Most Wanted,2012,96.0,Children & Family Movies,6.9,119213
Mystic River,2003,138.0,Dramas,8.0,338415
Never Back Down,2008,113.0,Action & Adventure,6.6,80556
State of Play,2009,127.0,Dramas,7.1,113295
The Darkest Hour,2011,89.0,Action & Adventure,4.9,49312
The Lovely Bones,2009,136.0,Dramas,6.7,125109
The Lovely Bones,2009,136.0,Dramas,6.7,125114
The Sweetest Thing,2002,89.0,Comedies,5.1,46158
The Whole Nine Yards,2000,99.0,Action & Adventure,6.7,90374
Zack and Miri Make a Porno,2008,101.0,Comedies,6.6,149835
Rush,2013,123.0,Action & Adventure,8.1,312629
The Master,2012,137.0,Dramas,7.1,105144
Escape from Planet Earth,2013,89.0,Children & Family Movies,5.9,20615
2012,2009,158.0,Action & Adventure,5.8,283418
Insidious,2010,103.0,Horror Movies,6.8,202800
Into the Grizzly Maze,2015,90.0,Action & Adventure,5.3,4486
Legally Blonde,2001,96.0,Comedies,6.2,131801
Maximum Risk,1996,101.0,Action & Adventure,5.4,15814
My Fair Lady,1964,173.0,Classic Movies,7.9,66959
Takers,2010,107.0,Action & Adventure,6.2,46961
The Pianist,2002,149.0,Dramas,8.5,497946
The Stepfather,2009,102.0,Horror Movies,5.6,23424
Universal Soldier: The Return,1999,83.0,Action & Adventure,4.1,24216
Yes Man,2008,104.0,Comedies,6.8,271691
Mandela: Long Walk to Freedom,2013,141.0,Dramas,7.1,21223
Philomena,2013,98.0,Dramas,7.6,76094
Get on Up,2014,139.0,Dramas,6.9,15843
Savages,2012,131.0,Dramas,6.5,104301
The BFG,2016,118.0,Children & Family Movies,6.8,12572
Parker,2013,119.0,Action & Adventure,6.2,90046
Safe Haven,2013,116.0,Dramas,6.7,78008
Black or White,2014,121.0,Dramas,6.6,8058
